430b6025 // pat0_img0[0,0,c0]: 139.375565
4347f2ab // pat0_img0[0,1,c0]: 199.947922
41f08ba2 // pat0_img0[0,2,c0]: 30.068180
3fd30a81 // pat0_img0[0,3,c0]: 1.648758
40f261f0 // pat0_img0[1,0,c0]: 7.574455
4305f3a5 // pat0_img0[1,1,c0]: 133.951736
43077fc4 // pat0_img0[1,2,c0]: 135.499084
4324559e // pat0_img0[1,3,c0]: 164.334442
41040fce // pat0_img0[2,0,c0]: 8.253859
437cb289 // pat0_img0[2,1,c0]: 252.697403
434ec3d1 // pat0_img0[2,2,c0]: 206.764908
4243a1f0 // pat0_img0[2,3,c0]: 48.908142
4329d3ec // pat0_img0[3,0,c0]: 169.827820
423b9370 // pat0_img0[3,1,c0]: 46.893982
423b7878 // pat0_img0[3,2,c0]: 46.867645
434339e8 // pat0_img0[3,3,c0]: 195.226196
42641f44 // pat0_img0[0,0,c1]: 57.030533
42f98a3e // pat0_img0[0,1,c1]: 124.770004
432941c7 // pat0_img0[0,2,c1]: 169.256943
4350291b // pat0_img0[0,3,c1]: 208.160568
4332e7d7 // pat0_img0[1,0,c1]: 178.905624
41ee6b8e // pat0_img0[1,1,c1]: 29.802517
42f3df12 // pat0_img0[1,2,c1]: 121.935684
4303fc35 // pat0_img0[1,3,c1]: 131.985184
424cd789 // pat0_img0[2,0,c1]: 51.210484
42a1ce8c // pat0_img0[2,1,c1]: 80.903412
433f9d79 // pat0_img0[2,2,c1]: 191.615128
42be2a74 // pat0_img0[2,3,c1]: 95.082916
42d9720a // pat0_img0[3,0,c1]: 108.722733
42410b31 // pat0_img0[3,1,c1]: 48.260929
42d57be0 // pat0_img0[3,2,c1]: 106.741943
42d4b729 // pat0_img0[3,3,c1]: 106.357735
43259df1 // pat0_img0[0,0,c2]: 165.616959
4326aa51 // pat0_img0[0,1,c2]: 166.665298
424aa40a // pat0_img0[0,2,c2]: 50.660194
42fb86a1 // pat0_img0[0,3,c2]: 125.762947
4351fb92 // pat0_img0[1,0,c2]: 209.982697
4226356f // pat0_img0[1,1,c2]: 41.552181
43667c4c // pat0_img0[1,2,c2]: 230.485535
424eaf73 // pat0_img0[1,3,c2]: 51.671337
434a8ea2 // pat0_img0[2,0,c2]: 202.557159
432d45e0 // pat0_img0[2,1,c2]: 173.272949
42ba023c // pat0_img0[2,2,c2]: 93.004364
42cedc71 // pat0_img0[2,3,c2]: 103.430550
42f26e17 // pat0_img0[3,0,c2]: 121.215019
43445b07 // pat0_img0[3,1,c2]: 196.355576
41d94efd // pat0_img0[3,2,c2]: 27.163568
417ec2af // pat0_img0[3,3,c2]: 15.922530
41fea2f1 // pat0_img1[0,0,c0]: 31.829561
41b5f3df // pat0_img1[0,1,c0]: 22.744078
41dea9fd // pat0_img1[0,2,c0]: 27.833002
436071ff // pat0_img1[0,3,c0]: 224.445297
404f4940 // pat0_img1[1,0,c0]: 3.238846
434193a6 // pat0_img1[1,1,c0]: 193.576752
42a4a7cb // pat0_img1[1,2,c0]: 82.327721
432ec6b4 // pat0_img1[1,3,c0]: 174.776184
41eb9294 // pat0_img1[2,0,c0]: 29.446571
42b9d528 // pat0_img1[2,1,c0]: 92.916321
432e4f5d // pat0_img1[2,2,c0]: 174.310013
42903b00 // pat0_img1[2,3,c0]: 72.115234
4319e4b8 // pat0_img1[3,0,c0]: 153.893433
42ec94ec // pat0_img1[3,1,c0]: 118.290863
432c5aa2 // pat0_img1[3,2,c0]: 172.354034
431f2dee // pat0_img1[3,3,c0]: 159.179413
428e6034 // pat0_img1[0,0,c1]: 71.187897
41834100 // pat0_img1[0,1,c1]: 16.406738
40e37b6a // pat0_img1[0,2,c1]: 7.108815
432ce27a // pat0_img1[0,3,c1]: 172.884674
42931f70 // pat0_img1[1,0,c1]: 73.561401
42c15916 // pat0_img1[1,1,c1]: 96.673996
42b62ca1 // pat0_img1[1,2,c1]: 91.087166
4267c73c // pat0_img1[1,3,c1]: 57.944565
43520075 // pat0_img1[2,0,c1]: 210.001785
43099be3 // pat0_img1[2,1,c1]: 137.608932
43348ce6 // pat0_img1[2,2,c1]: 180.550385
42bfc193 // pat0_img1[2,3,c1]: 95.878075
434963e1 // pat0_img1[3,0,c1]: 201.390152
431c969c // pat0_img1[3,1,c1]: 156.588318
4345b519 // pat0_img1[3,2,c1]: 197.707413
42e80ddf // pat0_img1[3,3,c1]: 116.027092
432e7416 // pat0_img1[0,0,c2]: 174.453461
430da403 // pat0_img1[0,1,c2]: 141.640671
41948ead // pat0_img1[0,2,c2]: 18.569666
4235582c // pat0_img1[0,3,c2]: 45.336105
4371a9bc // pat0_img1[1,0,c2]: 241.663025
4328a226 // pat0_img1[1,1,c2]: 168.633392
42b03a94 // pat0_img1[1,2,c2]: 88.114410
4364ff3f // pat0_img1[1,3,c2]: 228.997055
430e8164 // pat0_img1[2,0,c2]: 142.505432
42e83c9d // pat0_img1[2,1,c2]: 116.118385
4302f183 // pat0_img1[2,2,c2]: 130.943405
430eb97e // pat0_img1[2,3,c2]: 142.724579
43488126 // pat0_img1[3,0,c2]: 200.504486
430b136c // pat0_img1[3,1,c2]: 139.075867
4335f1f8 // pat0_img1[3,2,c2]: 181.945190
432ee6fe // pat0_img1[3,3,c2]: 174.902313
4200fd01 // pat1_img0[0,0,c0]: 32.247074
4218c65c // pat1_img0[0,1,c0]: 38.193710
41a953d4 // pat1_img0[0,2,c0]: 21.165932
4351f6fd // pat1_img0[0,3,c0]: 209.964798
41601b9e // pat1_img0[1,0,c0]: 14.006742
4351137a // pat1_img0[1,1,c0]: 209.076080
43289850 // pat1_img0[1,2,c0]: 168.594971
42d5c408 // pat1_img0[1,3,c0]: 106.882874
4297909f // pat1_img0[2,0,c0]: 75.782463
42c213ef // pat1_img0[2,1,c0]: 97.038933
4205b363 // pat1_img0[2,2,c0]: 33.425182
