3edfdd92 // pat0_kernel[0,0,c0]: 0.437237
3c95c5a2 // pat0_kernel[0,1,c0]: 0.018283
3b20f0c0 // pat0_kernel[0,2,c0]: 0.002456
3e691831 // pat0_kernel[1,0,c0]: 0.227631
3edc91a2 // pat0_kernel[1,1,c0]: 0.430799
3edacecb // pat0_kernel[1,2,c0]: 0.427359
3eb50e09 // pat0_kernel[2,0,c0]: 0.353623
3e2dba8c // pat0_kernel[2,1,c0]: 0.169657
3e13be0b // pat0_kernel[2,2,c0]: 0.144280
3cbb7d43 // pat0_kernel[0,0,c1]: 0.022887
3dcffef9 // pat0_kernel[0,1,c1]: 0.101561
3e29f11c // pat0_kernel[0,2,c1]: 0.165959
3eeb3348 // pat0_kernel[1,0,c1]: 0.459376
3e22aa2c // pat0_kernel[1,1,c1]: 0.158852
3e73003b // pat0_kernel[1,2,c1]: 0.237306
3eb436ca // pat0_kernel[2,0,c1]: 0.351981
3e57ed39 // pat0_kernel[2,1,c1]: 0.210866
3ed8523e // pat0_kernel[2,2,c1]: 0.422502
3e21f22a // pat0_kernel[0,0,c2]: 0.158150
3e50fcd6 // pat0_kernel[0,1,c2]: 0.204089
3dded422 // pat0_kernel[0,2,c2]: 0.108803
3eeee6c6 // pat0_kernel[1,0,c2]: 0.466604
3e4479ff // pat0_kernel[1,1,c2]: 0.191872
3e481106 // pat0_kernel[1,2,c2]: 0.195377
3edec5b6 // pat0_kernel[2,0,c2]: 0.435102
3e5b846a // pat0_kernel[2,1,c2]: 0.214372
3c8dd27e // pat0_kernel[2,2,c2]: 0.017312
3ef36d33 // pat1_kernel[0,0,c0]: 0.475442
3e71ab89 // pat1_kernel[0,1,c0]: 0.236006
3e7f07b4 // pat1_kernel[0,2,c0]: 0.249053
3efc8df0 // pat1_kernel[1,0,c0]: 0.493270
3e8cd92b // pat1_kernel[1,1,c0]: 0.275094
3e88bb02 // pat1_kernel[1,2,c0]: 0.267052
3e5a02cb // pat1_kernel[2,0,c0]: 0.212901
3ee2ac1c // pat1_kernel[2,1,c0]: 0.442719
3ed37842 // pat1_kernel[2,2,c0]: 0.413027
3c3ecbe5 // pat1_kernel[0,0,c1]: 0.011645
3e868db8 // pat1_kernel[0,1,c1]: 0.262800
3eee5966 // pat1_kernel[0,2,c1]: 0.465526
3e9d554a // pat1_kernel[1,0,c1]: 0.307291
3d2d0c4b // pat1_kernel[1,1,c1]: 0.042248
3e6c1536 // pat1_kernel[1,2,c1]: 0.230550
3db9b7bb // pat1_kernel[2,0,c1]: 0.090682
3ed38e52 // pat1_kernel[2,1,c1]: 0.413195
3ec61d6e // pat1_kernel[2,2,c1]: 0.386943
3ed93b24 // pat1_kernel[0,0,c2]: 0.424279
3ee1ebb6 // pat1_kernel[0,1,c2]: 0.441251
3e1dbf55 // pat1_kernel[0,2,c2]: 0.154050
3ef2963a // pat1_kernel[1,0,c2]: 0.473802
3e7dea09 // pat1_kernel[1,1,c2]: 0.247963
3e9aff93 // pat1_kernel[1,2,c2]: 0.302731
3e92cd1e // pat1_kernel[2,0,c2]: 0.286721
3ec70d47 // pat1_kernel[2,1,c2]: 0.388773
3efd8cc6 // pat1_kernel[2,2,c2]: 0.495215
3e23efe2 // pat2_kernel[0,0,c0]: 0.160095
3c795a0f // pat2_kernel[0,1,c0]: 0.015219
3e16b389 // pat2_kernel[0,2,c0]: 0.147169
3eb8264a // pat2_kernel[1,0,c0]: 0.359667
3e058610 // pat2_kernel[1,1,c0]: 0.130394
3ea9d5df // pat2_kernel[1,2,c0]: 0.331710
3eca925f // pat2_kernel[2,0,c0]: 0.395648
3c9020bc // pat2_kernel[2,1,c0]: 0.017594
3d99157b // pat2_kernel[2,2,c0]: 0.074748
3e4339e4 // pat2_kernel[0,0,c1]: 0.190651
3ee91bb1 // pat2_kernel[0,1,c1]: 0.455289
3ef6ade0 // pat2_kernel[0,2,c1]: 0.481795
3e85a33b // pat2_kernel[1,0,c1]: 0.261011
3c5ad37e // pat2_kernel[1,1,c1]: 0.013356
3eac1a95 // pat2_kernel[1,2,c1]: 0.336140
3c1e313f // pat2_kernel[2,0,c1]: 0.009655
3e559999 // pat2_kernel[2,1,c1]: 0.208594
3ea0eb25 // pat2_kernel[2,2,c1]: 0.314294
3dec5326 // pat2_kernel[0,0,c2]: 0.115393
3ebac48d // pat2_kernel[0,1,c2]: 0.364781
3dde86cb // pat2_kernel[0,2,c2]: 0.108656
3e367227 // pat2_kernel[1,0,c2]: 0.178170
3d0490cb // pat2_kernel[1,1,c2]: 0.032365
3ee61111 // pat2_kernel[1,2,c2]: 0.449349
3e7bb98a // pat2_kernel[2,0,c2]: 0.245825
3db6cf9b // pat2_kernel[2,1,c2]: 0.089263
3d98f1bf // pat2_kernel[2,2,c2]: 0.074680
3e983f51 // pat3_kernel[0,0,c0]: 0.297358
3ef0188c // pat3_kernel[0,1,c0]: 0.468937
3e95cb0e // pat3_kernel[0,2,c0]: 0.292565
3e7efada // pat3_kernel[1,0,c0]: 0.249004
3e229daa // pat3_kernel[1,1,c0]: 0.158805
3df59ee5 // pat3_kernel[1,2,c0]: 0.119932
3d53b349 // pat3_kernel[2,0,c0]: 0.051685
3ec769f0 // pat3_kernel[2,1,c0]: 0.389480
3ef4befa // pat3_kernel[2,2,c0]: 0.478020
3e70d1f7 // pat3_kernel[0,0,c1]: 0.235176
3eef4b60 // pat3_kernel[0,1,c1]: 0.467372
3daeb4f2 // pat3_kernel[0,2,c1]: 0.085306
3ea7ea8e // pat3_kernel[1,0,c1]: 0.327961
3eaa442d // pat3_kernel[1,1,c1]: 0.332551
3ead0be4 // pat3_kernel[1,2,c1]: 0.337981
3b1c476b // pat3_kernel[2,0,c1]: 0.002385
3ea7e2d7 // pat3_kernel[2,1,c1]: 0.327903
3e087d0e // pat3_kernel[2,2,c1]: 0.133290
3ef4985e // pat3_kernel[0,0,c2]: 0.477725
3cca910f // pat3_kernel[0,1,c2]: 0.024727
3eb0f2c0 // pat3_kernel[0,2,c2]: 0.345602
3ecbef17 // pat3_kernel[1,0,c2]: 0.398308
3ed57ee5 // pat3_kernel[1,1,c2]: 0.416984
3daa2958 // pat3_kernel[1,2,c2]: 0.083087
3e13398a // pat3_kernel[2,0,c2]: 0.143774
3ed78236 // pat3_kernel[2,1,c2]: 0.420915
3e393301 // pat3_kernel[2,2,c2]: 0.180859
3e892b94 // pat4_kernel[0,0,c0]: 0.267911
3ef5c611 // pat4_kernel[0,1,c0]: 0.480027
3ed35ee8 // pat4_kernel[0,2,c0]: 0.412833
3e270bf4 // pat4_kernel[1,0,c0]: 0.163132
3ebdcdc0 // pat4_kernel[1,1,c0]: 0.370710
3e40ae19 // pat4_kernel[1,2,c0]: 0.188164
3e80600c // pat4_kernel[2,0,c0]: 0.250733
3d63a0e1 // pat4_kernel[2,1,c0]: 0.055573
3db929e8 // pat4_kernel[2,2,c0]: 0.090412
3d5d6e71 // pat4_kernel[0,0,c1]: 0.054060
3cc12cb3 // pat4_kernel[0,1,c1]: 0.023581
3ea27fa0 // pat4_kernel[0,2,c1]: 0.317380
3e9b2630 // pat4_kernel[1,0,c1]: 0.303026
3e8f362e // pat4_kernel[1,1,c1]: 0.279710
3ef88810 // pat4_kernel[1,2,c1]: 0.485413
3e3c1b12 // pat4_kernel[2,0,c1]: 0.183697
3e6147c2 // pat4_kernel[2,1,c1]: 0.220000
3e1afb8d // pat4_kernel[2,2,c1]: 0.151350
3e78c2a9 // pat4_kernel[0,0,c2]: 0.242930
3e989b0d // pat4_kernel[0,1,c2]: 0.298058
3d67b9c6 // pat4_kernel[0,2,c2]: 0.056574
3e38e643 // pat4_kernel[1,0,c2]: 0.180566
3b9675cb // pat4_kernel[1,1,c2]: 0.004592
3eaa3ebb // pat4_kernel[1,2,c2]: 0.332510
3e657c5e // pat4_kernel[2,0,c2]: 0.224107
3e2230d4 // pat4_kernel[2,1,c2]: 0.158389
3ee1d955 // pat4_kernel[2,2,c2]: 0.441111
3d3c5b8b // pat5_kernel[0,0,c0]: 0.045986
3db29683 // pat5_kernel[0,1,c0]: 0.087201
3d961f9c // pat5_kernel[0,2,c0]: 0.073302
3e2634f0 // pat5_kernel[1,0,c0]: 0.162311
3ee9a77b // pat5_kernel[1,1,c0]: 0.456356
3ec60357 // pat5_kernel[1,2,c0]: 0.386744
3ece5257 // pat5_kernel[2,0,c0]: 0.402972
3ce63cef // pat5_kernel[2,1,c0]: 0.028105
3e2f60be // pat5_kernel[2,2,c0]: 0.171267
3edb367d // pat5_kernel[0,0,c1]: 0.428150
3ea3607f // pat5_kernel[0,1,c1]: 0.319096
3e284c01 // pat5_kernel[0,2,c1]: 0.164352
3edd6138 // pat5_kernel[1,0,c1]: 0.432382
3e865da6 // pat5_kernel[1,1,c1]: 0.262433
3d603a31 // pat5_kernel[1,2,c1]: 0.054743
3e975964 // pat5_kernel[2,0,c1]: 0.295604
3ed661cf // pat5_kernel[2,1,c1]: 0.418715
3ea54d30 // pat5_kernel[2,2,c1]: 0.322855
3d187d5e // pat5_kernel[0,0,c2]: 0.037229
3e95f71f // pat5_kernel[0,1,c2]: 0.292901
3ed695eb // pat5_kernel[0,2,c2]: 0.419113
3e87fe64 // pat5_kernel[1,0,c2]: 0.265613
3e28a656 // pat5_kernel[1,1,c2]: 0.164697
3de29043 // pat5_kernel[1,2,c2]: 0.110627
3e778ddf // pat5_kernel[2,0,c2]: 0.241752
3da5392e // pat5_kernel[2,1,c2]: 0.080675
3ba40804 // pat5_kernel[2,2,c2]: 0.005006
3ec0bf7e // pat6_kernel[0,0,c0]: 0.376461
3e8c85f4 // pat6_kernel[0,1,c0]: 0.274459
3e5d2371 // pat6_kernel[0,2,c0]: 0.215956
3e80bfba // pat6_kernel[1,0,c0]: 0.251463
3dd50369 // pat6_kernel[1,1,c0]: 0.104010
